grid_id_encoded,temp,wspd,rhum,brightness,frp,confidence,fire_occurred
78,26.5,8.3,50,367.0,12.68,h,1
77,26.5,8.3,50,312.69,4.75,n,1
77,26.5,8.3,50,336.07,1.92,n,1
77,26.5,8.3,50,308.03,1.92,n,1
77,26.5,8.3,50,316.17,1.71,n,1
53,24.4,10.8,50,302.99,0.23,n,1
44,24.4,10.8,50,312.99,0.83,n,1
93,26.5,8.3,50,336.48,3.18,n,1
78,26.5,8.3,50,332.39,5.74,l,1
77,26.5,8.3,50,355.82,37.38,n,1
78,26.5,8.3,50,367.0,162.46,l,1
77,26.5,8.3,50,348.57,37.38,n,1
77,26.5,8.3,50,350.46,37.38,n,1
77,26.5,8.3,50,337.18,19.07,n,1
77,26.5,8.3,50,333.34,7.32,l,1
78,26.5,8.3,50,335.04,7.32,n,1
78,26.5,8.3,50,337.69,42.1,n,1
78,26.5,8.3,50,349.59,42.1,n,1
78,26.5,8.3,50,350.33,162.46,n,1
78,26.5,8.3,50,344.53,10.44,n,1
78,26.5,8.3,50,336.5,10.44,n,1
77,26.5,8.3,50,350.38,25.45,n,1
78,26.5,8.3,50,367.0,166.25,l,1
78,26.5,8.3,50,367.0,164.11,l,1
78,26.5,8.3,50,367.0,159.03,h,1
78,26.5,8.3,50,367.0,166.25,h,1
77,26.5,8.3,50,367.0,19.07,h,1
78,26.5,8.3,50,367.0,159.03,h,1
78,26.5,8.3,50,339.34,69.14,n,1
78,26.5,8.3,50,352.58,166.25,n,1
78,26.5,8.3,50,367.0,162.46,l,1
78,26.5,8.3,50,367.0,162.46,l,1
78,26.5,8.3,50,350.59,159.03,l,1
77,26.5,8.3,50,348.61,37.38,n,1
77,26.5,8.3,50,338.84,7.32,n,1
78,26.5,8.3,50,350.22,7.32,n,1
78,26.5,8.3,50,341.21,42.1,n,1
78,26.5,8.3,50,340.58,41.64,n,1
77,26.5,8.3,50,367.0,19.07,h,1
78,26.5,8.3,50,367.0,42.1,h,1
78,26.5,8.3,50,367.0,69.14,h,1
78,26.5,8.3,50,367.0,166.25,h,1
77,26.5,8.3,50,367.0,25.45,h,1
78,26.5,8.3,50,350.7,69.14,n,1
78,26.5,8.3,50,354.8,164.11,n,1
78,26.5,8.3,50,330.93,6.37,l,1
77,24.4,10.8,50,367.0,15.74,h,1
77,26.5,8.3,50,367.0,10.08,h,1
78,26.5,8.3,50,354.86,55.51,n,1
78,26.5,8.3,50,353.37,100.54,n,1
78,26.5,8.3,50,350.8,60.13,n,1
78,26.5,8.3,50,348.04,100.54,n,1
77,26.5,8.3,50,367.0,15.74,h,1
77,26.5,8.3,50,348.74,16.53,n,1
77,26.5,8.3,50,345.25,10.08,n,1
78,26.5,8.3,50,344.59,38.88,n,1
78,26.5,8.3,50,348.76,62.6,n,1
78,26.5,8.3,50,367.0,62.6,l,1
78,28.5,5.0,50,367.0,100.54,h,1
77,26.5,8.3,50,367.0,15.74,h,1
78,28.5,5.0,50,348.6,175.99,n,1
78,26.5,8.3,50,356.03,55.51,n,1
78,26.5,8.3,50,350.53,60.13,n,1
78,26.5,8.3,50,350.43,60.13,l,1
78,26.5,8.3,50,367.0,55.51,h,1
78,26.5,8.3,50,367.0,60.13,h,1
78,26.5,8.3,50,335.51,55.51,n,1
77,26.5,8.3,50,367.0,16.53,h,1
78,26.5,8.3,50,367.0,85.77,l,1
78,26.5,8.3,50,367.0,85.77,l,1
78,26.5,8.3,50,367.0,175.99,l,1
78,26.5,8.3,50,367.0,175.99,l,1
