발생일시,진화일시,주소,진행상태,대응단계,위도,경도,acq_date,평균기온 (temp),평균풍속 (wspd),풍향각도 (wdir),강수량 (precip),습도 (rh),brightness,frp,confidence
2025-03-14 13:58,2025-03-14 14:56,전라남도 함평군 학교면,진화완료,초기대응,35.0169150658813,126.537537756444,2025-03-14,10.6,7.6,345.0,0.0,53,,,
2025-03-14 13:37,2025-03-14 14:53,경기도 파주시 법원읍,진화완료,초기대응,37.8491777679211,126.882366115155,2025-03-14,7.8,9.6,342.0,0.0,48,,,
2025-03-14 12:36,2025-03-14 13:08,경기도 남양주시 호평동,진화완료,초기대응,37.6548880029094,127.248669169781,2025-03-14,7.9,9.3,338.0,0.8,46,,,
2025-03-14 11:54,2025-03-14 13:25,강원특별자치도 춘천시 신북읍,진화완료,초기대응,37.9259016421481,127.746212145455,2025-03-14,11.0,5.5,21.0,0.5,44,,,
2025-03-14 11:35,2025-03-15 07:12,경기도 양주시 백석읍,진화완료,초기대응,37.7950376733941,126.985512570135,2025-03-14,7.8,9.6,342.0,0.0,51,,,
2025-03-14 10:48,2025-03-14 17:30,경상북도 청도군 운문면,진화완료,2단계,35.7156083938838,128.913121329476,2025-03-14,9.5,13.6,105.0,0.0,49,,,
2025-03-13 21:41,2025-03-13 22:33,광주광역시 남구 봉선동,진화완료,초기대응,35.130561278002,126.91108911187,2025-03-13,10.6,4.9,36.0,0.0,39,,,
2025-03-13 15:58,2025-03-13 17:09,경상북도 고령군 다산면,진화완료,초기대응,35.8227332196263,128.45168466056,2025-03-13,12.3,9.7,258.0,0.0,32,,,
2025-03-13 15:17,2025-03-13 16:05,경상북도 경주시 내남면,진화완료,초기대응,35.7524030796092,129.200119922594,2025-03-13,10.6,8.6,29.0,0.0,44,,,
2025-03-13 14:29,2025-03-13 17:45,강원특별자치도 평창군 평창읍,진화완료,초기대응,37.3677151528902,128.400549022928,2025-03-13,2.4,13.7,323.0,0.0,56,,,
2025-03-13 13:02,2025-03-13 13:51,부산광역시 사하구 구평동,진화완료,초기대응,35.0819025270148,128.987803598338,2025-03-13,10.0,20.7,20.0,0.0,37,,,
2025-03-13 12:36,2025-03-13 14:33,경상남도 사천시 실안동,진화완료,초기대응,34.9490050320079,128.049813154664,2025-03-13,9.1,15.1,33.0,0.0,53,,,
2025-03-13 12:16,2025-03-13 14:30,전라남도 여수시 화양면,진화완료,초기대응,34.7081266460015,127.61349767072,2025-03-13,10.3,15.4,39.0,0.0,39,,,
2025-03-12 12:05,2025-03-12 12:38,경상남도 합천군 봉산면,진화완료,초기대응,35.6260618892669,128.041839121844,2025-03-12,12.0,7.9,289.0,0.0,60,,,
2025-03-12 11:37,2025-03-12 12:42,경상북도 청송군 안덕면,진화완료,초기대응,36.2889433818906,128.959974416562,2025-03-12,11.4,9.4,319.0,0.0,49,,,
2025-03-12 09:52,2025-03-12 10:35,광주광역시 광산구 임곡동,진화완료,초기대응,35.2196169520801,126.744786274005,2025-03-12,8.9,7.1,346.0,0.0,58,,,
2025-03-11 15:45,2025-03-11 16:25,충청남도 공주시 우성면,진화완료,초기대응,36.4709499920014,127.049709589199,2025-03-11,9.5,5.2,11.0,0.0,61,,,
2025-03-11 15:45,2025-03-11 16:13,충청남도 아산시 인주면,진화완료,초기대응,36.8690066584624,126.884612818588,2025-03-11,7.7,3.1,344.0,0.0,62,,,
2025-03-11 15:03,2025-03-12 17:50,경상남도 양산시 상북면,진화완료,초기대응,35.4183556867378,129.064363371185,2025-03-11,9.4,5.6,44.0,0.0,67,,,
2025-03-11 11:34,2025-03-11 12:40,강원특별자치도 삼척시 평전동,진화완료,초기대응,37.4493548481233,129.131550825163,2025-03-11,9.9,6.2,199.0,0.0,58,,,
2025-03-11 11:00,2025-03-11 11:34,전북특별자치도 익산시 웅포면,진화완료,초기대응,36.0644841822015,126.87693229761,2025-03-11,7.6,7.9,11.0,0.0,66,,,
2025-03-10 14:54,2025-03-10 15:29,충청남도 홍성군 홍성읍,진화완료,초기대응,36.6014696445995,126.662222238465,2025-03-10,6.2,8.7,131.0,0.0,65,,,
2025-03-10 13:59,2025-03-10 14:44,충청남도 공주시 우성면,진화완료,초기대응,36.4709499920014,127.049709589199,2025-03-10,8.1,4.5,301.0,0.0,63,,,
2025-03-10 10:39,2025-03-10 11:20,강원특별자치도 화천군 사내면,진화완료,초기대응,38.0701588123932,127.523433810035,2025-03-10,5.3,3.7,286.0,0.0,57,,,
2025-03-09 16:13,2025-03-09 17:20,충청북도 옥천군 청성면,진화완료,초기대응,36.3276591346517,127.759857209786,2025-03-09,3.4,4.7,279.0,0.0,60,,,
2025-03-09 15:02,2025-03-09 16:40,강원특별자치도 춘천시 남면,진화완료,초기대응,37.7321563694312,127.599895449274,2025-03-09,5.8,4.2,80.0,0.0,66,,,
2025-03-09 11:31,2025-03-09 12:25,경상남도 거제시 고현동,진화완료,초기대응,34.8822808816065,128.618381262237,2025-03-09,6.1,8.0,25.0,0.0,64,,,
2025-03-08 18:09,2025-03-08 18:43,경기도 성남시 수정구,진화완료,초기대응,37.4503896755508,127.145617389273,2025-03-08,5.8,6.3,206.0,0.0,47,,,
2025-03-08 15:50,2025-03-08 16:22,충청남도 공주시 우성면,진화완료,초기대응,36.4709499920014,127.049709589199,2025-03-08,6.5,5.1,287.0,0.3,63,,,
2025-03-08 14:40,2025-03-08 15:22,충청남도 예산군 대술면,진화완료,초기대응,36.6575934921154,126.892194567896,2025-03-08,5.0,6.0,333.0,0.0,61,,,
2025-03-08 14:25,2025-03-08 14:46,경기도 용인시 처인구,진화완료,초기대응,37.2343060386837,127.201357139725,2025-03-08,3.5,8.5,226.0,0.0,58,,,
2025-03-08 05:07,2025-03-08 05:36,경기도 고양시 덕양구,진화완료,초기대응,37.6374795939323,126.832188086806,2025-03-08,4.7,7.6,283.0,0.0,67,,,
2025-03-01 14:15,2025-03-01 15:21,경기도 양평군 강하면,진화완료,초기대응,37.4949573777619,127.410464187932,2025-03-01,4.1,6.2,63.0,4.8,74,,,
2025-03-01 13:52,2025-03-01 15:21,경기도 양평군 강상면,진화완료,초기대응,37.4772043318602,127.485480381356,2025-03-01,4.1,6.2,63.0,4.0,74,,,
2025-03-01 10:16,2025-03-01 11:02,경기도 고양시 일산동구,진화완료,초기대응,37.6588746240831,126.775008021538,2025-03-01,5.7,5.7,330.0,3.8,82,,,
2025-02-28 15:59,2025-02-28 16:35,경기도 안성시 삼죽면,진화완료,초기대응,37.0730098580054,127.374843682254,2025-02-28,5.8,2.6,11.0,0.0,60,,,
2025-02-28 14:53,2025-02-28 15:42,강원특별자치도 횡성군 공근면,진화완료,초기대응,37.5364543513987,127.961772076306,2025-02-28,5.5,1.7,352.0,1.0,51,,,
