발생일시,진화일시,주소,진행상태,대응단계
2025-02-21 15:07,2025-02-21 15:46,경기도 고양시 일산동구,진화완료,초기대응
2025-02-21 14:27,2025-02-21 16:30,충청북도 제천시 두학동,진화완료,초기대응
2025-02-21 13:11,2025-02-21 14:45,전라남도 장흥군 장동면,진화완료,초기대응
2025-02-21 11:25,2025-02-21 15:30,충청북도 단양군 영춘면,진화완료,초기대응
2025-02-20 19:33,2025-02-20 20:30,경기도 성남시 분당구,진화완료,초기대응
2025-02-20 15:17,2025-02-20 19:53,경상남도 하동군 고전면,진화완료,초기대응
2025-02-20 14:24,2025-02-20 15:20,경상북도 상주시 화서면,진화완료,초기대응
2025-02-19 21:24,2025-02-19 22:10,충청남도 천안시 동남구,진화완료,초기대응
2025-02-19 15:43,2025-02-19 16:46,충청남도 공주시 탄천면,진화완료,초기대응
2025-02-19 10:44,2025-02-19 12:20,강원특별자치도 고성군 죽왕면,진화완료,초기대응
2025-02-18 14:48,2025-02-18 17:00,충청북도 충주시 앙성면,진화완료,초기대응
2025-02-18 12:20,2025-02-18 13:20,충청남도 아산시 음봉면,진화완료,초기대응
2025-02-18 11:46,2025-02-18 12:50,경기도 화성시 서신면,진화완료,초기대응
2025-02-18 10:13,2025-02-18 10:33,충청남도 공주시 이인면,진화완료,초기대응
2025-02-17 15:28,2025-02-17 17:05,강원특별자치도 홍천군 서석면,진화완료,초기대응
2025-02-16 20:12,2025-02-17 00:30,경상남도 양산시 원동면,진화완료,초기대응
2025-02-16 11:21,2025-02-16 11:50,전북특별자치도 남원시 대산면,진화완료,초기대응
2025-02-14 14:52,2025-02-14 16:47,충청북도 제천시 송학면,진화완료,초기대응
2025-02-14 14:51,2025-02-14 16:08,경상남도 창원시 진해구,진화완료,초기대응
2025-02-13 15:48,2025-02-13 16:22,강원특별자치도 강릉시 주문진읍,진화완료,초기대응
2025-02-11 15:30,2025-02-11 17:01,서울특별시 구로구 온수동,진화완료,초기대응
2025-02-09 13:12,2025-02-09 17:27,경상북도 영천시 고경면,진화완료,초기대응
2025-02-08 12:24,2025-02-08 13:53,강원특별자치도 강릉시 운산동,진화완료,초기대응
2025-02-06 10:18,2025-02-06 10:45,강원특별자치도 고성군 거진읍,진화완료,초기대응
2025-02-06 10:03,2025-02-06 11:10,인천광역시 옹진군 영흥면,진화완료,초기대응
2025-02-05 11:50,2025-02-05 13:41,강원특별자치도 강릉시 연곡면,진화완료,초기대응
2025-02-04 12:21,2025-02-04 12:50,강원특별자치도 고성군 토성면,진화완료,초기대응
2025-02-03 13:36,2025-02-03 14:45,경기도 용인시 처인구,진화완료,초기대응
2025-02-01 04:28,2025-02-01 06:30,부산광역시 사상구 학장동,진화완료,초기대응
2025-01-26 17:11,2025-01-26 18:07,충청북도 충주시 동량면,진화완료,초기대응
2025-01-26 01:02,2025-01-26 02:56,전라남도 해남군 해남읍,진화완료,초기대응
2025-01-25 16:12,2025-01-25 16:56,전라남도 화순군 도암면,진화완료,초기대응
2025-01-25 13:41,2025-01-25 15:30,전라남도 장성군 서삼면,진화완료,초기대응
2025-01-25 13:30,2025-01-25 14:20,강원특별자치도 횡성군 갑천면,진화완료,초기대응
2025-01-25 12:48,2025-01-25 15:30,충청남도 공주시 사곡면,진화완료,초기대응
2025-01-25 11:57,2025-01-25 12:41,대구광역시 동구 백안동,진화완료,초기대응
2025-01-25 11:53,2025-01-25 13:50,전북특별자치도 남원시 대강면,진화완료,초기대응
2025-01-25 11:48,2025-01-25 12:37,세종특별자치시 전동면 심중리,진화완료,초기대응
2025-01-25 11:41,2025-01-25 13:34,경기도 화성시 마도면,진화완료,초기대응
2025-01-24 16:02,2025-01-24 17:02,전북특별자치도 남원시 보절면,진화완료,초기대응
2025-01-24 15:28,2025-01-24 16:00,인천광역시 옹진군 덕적면,진화완료,초기대응
2025-01-23 16:16,2025-01-23 17:35,전라남도 화순군 동면,진화완료,초기대응
2025-01-23 15:55,2025-01-23 17:05,강원특별자치도 원주시 소초면,진화완료,초기대응
2025-01-21 11:29,2025-01-21 13:00,전라남도 화순군 이양면,진화완료,초기대응
2025-01-19 13:57,2025-01-19 15:25,전라남도 광양시 옥룡면,진화완료,초기대응
2025-01-18 14:19,2025-01-18 15:20,경상북도 상주시 화남면,진화완료,초기대응
2025-01-18 01:14,2025-01-18 01:42,대구광역시 달서구 본동,진화완료,초기대응
2025-01-16 17:03,2025-01-16 18:12,경상북도 안동시 남선면,진화완료,초기대응
2025-01-12 12:44,2025-01-12 14:00,전라남도 고흥군 동일면,진화완료,초기대응
2025-01-12 12:44,2025-01-12 13:30,강원특별자치도 양양군 양양읍,진화완료,초기대응
2025-01-12 08:29,2025-01-12 09:50,경상북도 영덕군 남정면,진화완료,초기대응
2025-01-11 21:44,2025-01-12 01:15,전라남도 구례군 광의면,진화완료,초기대응
2025-01-10 17:12,2025-01-10 18:04,경기도 과천시 과천동,진화완료,초기대응
2025-01-08 12:42,2025-01-08 20:17,경상북도 의성군 안계면,진화완료,초기대응
2025-01-04 21:33,2025-01-04 23:48,충청남도 천안시서북구 쌍용동,진화완료,초기대응
2025-01-04 18:22,2025-01-04 18:52,경상북도 영천시 화남면,진화완료,초기대응
2025-01-04 16:57,2025-01-04 20:00,강원특별자치도 삼척시 원덕읍,진화완료,초기대응
2025-01-04 13:24,2025-01-04 14:00,경기도 시흥시 금이동,진화완료,초기대응
2025-01-03 19:24,2025-01-03 20:25,경기도 남양주시 수동면,진화완료,초기대응
2025-01-03 14:43,2025-01-03 15:35,경기도 가평군 청평면,진화완료,초기대응
2025-01-03 14:21,2025-01-03 15:19,충청남도 홍성군 장곡면,진화완료,초기대응
2025-01-03 13:59,2025-01-03 14:40,전라남도 곡성군 죽곡면,진화완료,초기대응
2025-01-03 12:33,2025-01-03 14:11,울산광역시 울주군 범서읍,진화완료,초기대응
2025-01-03 12:03,2025-01-03 12:53,전북특별자치도 임실군 임실읍,진화완료,초기대응
2025-01-03 03:16,2025-01-03 03:38,경기도 화성시 정남면,진화완료,초기대응
2025-01-02 16:23,2025-01-02 17:13,충청북도 음성군 소이면,진화완료,초기대응
2025-01-02 15:03,2025-01-02 15:37,부산광역시 기장군 장안읍,진화완료,초기대응
2025-01-02 14:01,2025-01-02 14:57,경상북도 봉화군 명호면,진화완료,초기대응
